"name1","name2","street1","street2","city","state","zip","zip4","county","phone","website","latitude","longitude","type_facility","sa","dt","mm","dm","bum","db","rpn","bu","nxn","vtrl","meth","hh","noop","pain","nmoa","moa","ubn","otp","cbt","dbt","tele","saca","trc","smon","smpd","smop","hi","res","op","rs","rl","rd","od","omb","odt","iop","ort","hid","hit","ct","gh","psyh","vamc","tbg","ihs","stg","lccg","dod","ssa","stmh","stdh","hla","jc","carf","ncqa","coa","hfap","np","cash","md","mc","si","pi","tricare","fsa","ss","pa","asl","sp","mhsu","vet","admil","milf","cj","sen","adol","pw","wn","mn","hiv","trma","sexa","dv","ya","nsc","adtx","bdtx","cdtx","mdtx","odtx","tgd","ico","gco","fco","mco","twfa","bia","cmi","mi","ang","mxm","crv","relp","beds","ch_ad","yad","adlt","fem","male","dui","duio","acc","acm","acu","baba","ccc","cmha","csaa","daut","dp","dsf","dvfp","eis_hiv","emp","haec","heoh","hivt","isc","itu","mhs","opc","sae","shg","smhd","ssu","ssd","stdt","ta","taec","tbs","cm","fpsy","hs","nrt","peer","stu","tcc","bsdm","nu","mu","bwn","bwon","ub","un","beri","pvtp","pvtn","cosmi","inpe","rpe","pc","naut","nmaut","acma","pmat","auinpe","aurpe","aupc","dlc","mhiv","mhcv","lfxd","clnd","copsu","daof","mst","noe","ofd","rc","piec","mdet","voc","hav","hbv","audo","mmd","mprep","fed","sotp","dea","samhsa","mhpa","hbt","hct","tod","vapn","vapp","vppd","oudo","nx","oth","mws","f17","f19","f25","f28","f30","f31","f35","f36","f37","f4","f42","f43","f47","f66","f67","f70","f81","f92","n24","n40","cosed"
"Lower East Side Service Ctr Inc","Methadone Clinic","46 East Broadway","Ground Floor","New York","NY","10002","","New York","212-343-3533","https://www.lesc.org","40.7137876","-73.9958686","SU","1","","1","","","","","","","","1","","","","","","","1","1","","1","1","","","1","","","","1","","","","","1","1","","1","","","","","","","","","","","","","","","","","1","","","","","1","1","1","","","","","1","","","","","","","","","1","","","1","1","","","","","","","","","","","","","1","1","1","","","1","1","1","","","1","1","","1","1","1","1","1","","","1","","","","","","1","1","1","","","","1","1","","","","","","1","1","","1","1","","","","1","1","1","","1","","","","","","","1","","","","","","","1","","","","","1","","","","","","","","","","","","","","","1","1","","","","","1","1","","","","","","","","","1","1","","","","1","1","","1","","1","","","","","","","","","","","","1","","","1","","","","",""
"Hazelden","Betty Ford Foundation","283 West Broadway","","New York","NY","10013","","New York","646-601-7028","https://www.hazeldenbettyford.org/","40.720808","-74.0048482","SU","1","","","","1","","1","1","1","","","","","","","1","","","1","","1","1","","1","","","","","1","","","","","1","1","1","1","","","","","","","","","","","","1","","","","1","","","","","","1","","","","1","1","","1","","1","","1","","","","","","","","","","","","","","","1","","","","","","","1","1","1","1","1","","","1","","","","1","","","1","1","1","1","","","1","1","","1","","1","1","1","1","1","","","","1","1","","","","","1","1","1","1","1","1","","","1","","1","","","1","1","1","","","1","","1","1","1","1","","","1","","1","","1","","","1","1","1","","1","1","","","","1","","1","","1","","1","","","","","","","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lower Eastside Service Center","ORS Clinic 3","62 East Broadway","","New York","NY","10002","","New York","212-343-3591","https://www.lesc.org","40.7138376","-73.9951519","SU","1","","1","","","","","","","","1","","","","","","","1","1","","1","1","1","1","","","","","1","","","","","1","","","","","","","","","","","","","","","1","","1","","","1","","","","","1","1","1","","","","1","1","1","","","","","","","","","","","1","1","","","","","","","","","","","","","1","1","1","1","1","1","","1","","","","1","","","1","1","1","1","","","1","","","","","","1","1","1","","","1","1","1","1","1","","","","1","1","","1","1","1","1","","1","1","1","","1","","","1","1","","","1","","","","","","","1","","","","","1","","","","","","","","","","","","","1","","1","1","","","","","","","","","","","1","1","","1","1","1","","1","","","1","","1","1","1","","","","","","","1","","","","","","","","1","","","","",""
"Exponents Inc","Outpatient Substance Use Trt Clinic","17 Battery Place","8th Floor","New York","NY","10004","1123","New York","212-243-3434 x306","https://www.exponents.org","40.7057399","-74.0155985","SU","1","","","","","","","1","1","","","","","","","1","","","1","","1","1","1","1","","","","","1","","","","","1","","","1","","","","","","","","","","","","1","","","","","","","","","","1","1","1","1","1","","","","","","1","1","1","1","","1","1","","1","1","1","1","1","1","1","1","1","","","","","","","1","1","1","1","","1","1","1","1","","","1","","","1","1","1","1","1","","1","1","","","","1","1","1","1","1","1","1","","1","1","1","1","","","1","1","","1","1","1","","1","1","","1","","1","","1","1","1","","1","","1","1","1","1","","","1","","","","1","","","1","1","1","","1","","","","","","1","1","","1","1","1","","","1","","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lafayette Medical Approach LLC","","233 Lafayette Street","","New York","NY","10012","4051","New York","212-431-6177","https://www.lafayettemedical.org","40.722452","-73.9968219","SU","1","","1","","1","","","1","","","1","","","","","","","1","1","","1","1","1","1","","","","","1","","","","","1","","","","","","","","","","","","","","","1","","1","","","1","","","","","1","1","1","","1","","","","","","1","1","","","","","","","","1","1","","1","","","","","","","","","","","1","1","","","","1","1","1","","","","1","","","1","1","1","1","","","1","","","","","","1","1","1","","","","","1","1","1","","","","","1","","1","1","1","1","","1","1","1","","1","","1","1","1","","","1","1","","1","","","1","","","","","","1","","","","","","","","","","","","","1","","1","","","","","","","","","","","","1","1","","1","","1","","1","","","1","","1","","1","","","","","","","","","","1","","","","","","","","","",""
"Hamilton Madison House","Asian American Recovery Services","253 South Street","2nd Floor","New York","NY","10002","","New York","212-720-4540 x9524","https://www.hamiltonmadison.org/recoveryservices","40.710344","-73.9905785","SU","1","","","","","","1","1","1","1","","","","","","1","","","1","","1","1","1","1","","","","","1","","","","","1","","","1","","","","","","","","","","","","1","","","","","","","","","","1","1","1","","1","","1","","","","","","","","","","","","","","","","","","","","1","","","","","","1","1","1","","","","1","1","1","1","","","1","","1","1","1","1","1","","","1","1","","","","1","1","1","1","1","","","","1","1","","1","","1","1","1","","1","1","1","","1","1","","","","","1","1","1","1","","1","","1","","1","1","","","1","","1","1","","","","1","1","","1","","","","","","","","","","1","","1","","","","","","","1","","","","","","","","","","1","","","","","1","","1","","","","","","","","","","","","","","","","","","","",""
"Mount Sinai Beth Israel","CD Inpatient Rehab","45 Rivington Street","5th Floor","New York","NY","10002","","New York","332-243-1600","https://Mountsinai.org","40.7206952","-73.9911294","SU","1","","","","1","","1","1","1","1","","","","","","1","","","1","","","1","","1","","","1","","","","","","","","","","","","1","","1","","","","","","","","1","1","1","","1","","","","","","1","1","1","","1","","","","","1","1","1","","","","","","","","1","1","","","","","","","","","","","","","1","1","1","1","1","1","","1","1","","","1","","","1","1","1","1","","","1","1","","1","","1","1","1","1","","1","","","1","1","1","","","1","","1","1","1","1","1","1","","1","1","1","","","1","1","1","1","","1","","1","1","1","1","1","","1","","1","","1","","","","1","1","","1","1","1","1","1","1","","","","1","","1","","","","1","1","","1","","","1","1","","1","1","1","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
"Mount Sinai Beth Israel Medical Center","CD Inpatient Detox","45 Rivington Street","5th Floor","New York","NY","10002","","New York","332-243-1600","https://Mountsinai.org","40.7206952","-73.9911294","SU","1","1","","","1","1","1","1","1","1","","","","1","","1","","","1","","","1","","1","","","1","","","","","","","","","","","1","1","","1","","","","","","","","1","","","","1","","","","","","1","1","1","1","1","1","","1","","1","1","1","","","","","","","","1","1","","","","","","","1","1","","","1","","1","1","1","","1","1","","1","1","","","1","","","1","1","1","1","","","1","1","","1","","","1","1","1","","1","","","1","1","1","1","1","1","","1","1","1","1","","1","1","1","1","1","","","1","","1","1","","1","","1","1","1","1","1","","1","","1","","","","","","1","","","","1","1","1","1","1","","","","1","","1","","1","","1","1","","1","","","","1","","1","1","1","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
"Gouverneur Clinic","Methadone Clinic","109-11 Delancey Street","","New York","NY","10002","","New York","212-614-2840","https://www.mountsinai.org","40.7184126","-73.9886502","SU","1","","1","","1","","","1","","","1","","","","","1","","1","1","","1","1","1","1","","","","","1","","","","","1","","","","","","","1","","","","","","","","1","1","1","1","1","","","","","","1","1","1","1","1","","1","","","1","1","","","","","","","","1","1","1","","","","1","","","","","","","","","1","1","","","","1","","1","1","","","1","","","1","1","1","1","","","1","","","1","","","1","1","1","","1","","1","1","1","1","1","","","1","1","","1","1","1","","1","1","1","1","","1","1","1","1","1","","","1","1","1","1","","","","1","","","","1","1","","","","","","","","","1","","","","1","1","1","","","1","","1","","","","","","","1","1","","1","1","1","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Project Renewal Inc","820 Stabil Rehab","8 East 3rd Street","2nd, 3rd and 4th Floors","New York","NY","10003","","New York","212-533-8400","https://www.projectrenewal.org","40.7258567","-73.9910376","SU","1","1","","","1","1","1","1","1","1","","","","1","","","","","1","","1","1","1","","1","","","1","","1","1","1","","","","","","","","","","","","","","","","","1","","1","","","","","","","","1","1","1","1","1","","1","1","1","1","1","","","","","","","","","","1","","1","","","","1","1","1","","1","1","","1","1","1","","1","1","1","1","1","","","1","","","1","1","","1","","","1","1","1","1","","1","1","1","1","1","","1","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","","1","1","1","1","1","","1","","","","","","","","1","1","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","","1","1","","","1","","1","1","1","1","","","1","","","1","1","","","","","","","","","","","","","","","","1","","","","",""
